Variables,Meaning
film,the title of the movie
year,the year the movie was released
script_type,the script type classification of the movie
rotten_tomatoes_critics,"the movie's Rotten Tomatoes score, based on ratings from professional critics"
metacritic_critics ,"the movie's Metacritic score, based on the weighted average of ratings given by critics"
average_critics ,the average of the movie's Rotten Tomatoes critic score and Metacritic critic score
rotten_tomatoes_audience,"the movie's Rotten Tomatoes score, based on ratings from the general audience"
metacritic_audience,"the movie's Metacritic score, based on the average of ratings submitted by Metacritic users"
rotten_tomatoes_vs_metacritic_deviance,the movie's Rotten Tomatoes audience score minus the Metacritic audience score
average_audience,the average of the movie's Rotten Tomatoes audience score and Metacritic audience score
audience_vs_critics_deviance,the movie's average critics rating minus the average audience rating
primary_genre,the main genre of the movie
genre,the multiple genres the movie may fall into
opening_weekend,how much revenue the movie made during its opening weekend
opening_weekend_million,how much revenue the movie made during its opening weekend (in millions)
domestic_gross,"the movie's total box office revenue, generated within the US"
domestic_gross_million,"the movie's total box office revenue, generated within the US (in millions)"
foreign_gross_million,the total box office revenue generated by the movie from international markets outside the US (in millions)
foreign_gross,the total box office revenue generated by the movie from international markets outside the US
worldwide_gross,"the total box office revenue generated by the movie from screenings worldwide, including both its domestic and foreign earnings"
worldwide_gross_million,"the total box office revenue generated by the movie from screenings worldwide, including both its domestic and foreign earnings (in millions)"
of_gross_earned_abroad,the percent that the movie's foreign gross makes up its worldwide gross
budget_million,the total cost of the movie's product (in millions)
budget_recovered,the percent of the movie's budget that was earned back in total after its production
budget_recovered_opening_weekend,the percent of the movie's budget that was earned back during opening weekend alone
oscar_winners,whether or not the movie earned an Oscar award
oscar_detail,"the type of Oscar the movie earned, if applicable"
distributor,the company responsible for marketing and releasing the movie (only available for 2019-2022 movies)
im_db_rating,"the movie's IMDb score, on a scale of 1 to 10 (only available for 2019-2022 movies)"
imdb_vs_rt_disparity,the movie's IMDb score minus its Rotten Tomatoes score (only available for 2019-2022 movies)
release_date_us,the date that the movie was released in the US
season,the season that the movie was released in
